Time [s],LRCK_out,DATA_out,DATA_in
-0.000002090,1,1,1
-0.000001760,1,1,0
-0.000001410,1,1,1
-0.000001060,1,1,0
-0.000000710,1,1,1
0.000000000,0,1,1
0.000000170,0,0,1
0.000000720,0,0,0
0.000001070,0,0,1
0.000001420,0,0,0
0.000002130,0,0,1
0.000002490,0,0,0
0.000002830,1,0,0
0.000002840,1,0,1
0.000003200,1,0,0
0.000005670,0,0,0
0.000007090,0,0,1
0.000007450,0,0,0
0.000008500,1,0,0
0.000008510,1,0,1
0.000009570,1,0,0
0.000009920,1,0,1
0.000010280,1,0,0
0.000010630,1,0,1
0.000011330,1,1,1
0.000011340,0,1,1
0.000011510,0,0,1
0.000012050,0,0,0
0.000012400,0,0,1
0.000012760,0,0,0
0.000013470,0,0,1
0.000013820,0,0,0
0.000014170,1,0,1
0.000014530,1,0,0
0.000015240,1,0,1
0.000015600,1,0,0
0.000017010,0,0,0
0.000018430,0,0,1
0.000018790,0,0,0
0.000019830,0,1,0
0.000019840,1,1,1
0.000020010,1,0,1
0.000020200,1,0,0
0.000021620,1,0,1
0.000021970,1,0,0
0.000022320,1,0,1
0.000022670,0,0,1
0.000023040,0,0,0
0.000023390,0,0,1
0.000023750,0,0,0
0.000024800,0,0,1
0.000025160,0,0,0
0.000025510,1,0,1
0.000026930,1,0,0
0.000028340,0,0,0
0.000029760,0,0,1
0.000030120,0,0,0
0.000031180,1,0,1
0.000031540,1,0,0
0.000032950,1,0,1
0.000033310,1,0,0
0.000033660,1,0,1
0.000034010,0,0,1
0.000034180,0,1,1
0.000034370,0,1,0
0.000034720,0,1,1
0.000035080,0,1,0
0.000036140,0,1,1
0.000036500,0,1,0
0.000036840,1,1,0
0.000036850,1,1,1
0.000037020,1,0,1
0.000037920,1,0,0
0.000039680,0,0,0
0.000041100,0,0,1
0.000041460,0,0,0
0.000042510,1,0,0
0.000042870,1,0,1
0.000043230,1,0,0
0.000044290,1,0,1
0.000045000,1,0,0
0.000045350,0,0,0
0.000046060,0,0,1
0.000047840,0,0,0
0.000048180,1,0,0
0.000048190,1,0,1
0.000048550,1,0,0
0.000048900,1,0,1
0.000049260,1,0,0
0.000051010,1,1,0
0.000051020,0,1,0
0.000051190,0,0,0
0.000052440,0,0,1
0.000052800,0,0,0
0.000053850,1,0,0
0.000054210,1,0,1
0.000054570,1,0,0
0.000055630,1,0,1
0.000056340,1,0,0
0.000056690,0,0,0
0.000057400,0,0,1
0.000059180,0,0,0
0.000059520,1,0,0
0.000059530,1,0,1
0.000059880,1,0,0
0.000060240,1,0,1
0.000060950,1,0,0
0.000062360,0,0,0
0.000063780,0,0,1
0.000064140,0,0,0
0.000065190,1,0,0
0.000065900,1,0,1
0.000066260,1,0,0
0.000066610,1,0,1
0.000067680,1,0,0
