Time [s],LRCK_out,DATA_out,DATA_in
-0.000002540,1,0,0
0.000000000,0,0,0
0.000000240,0,0,1
0.000000600,0,0,0
0.000001660,0,0,1
0.000002370,0,0,0
0.000002720,0,0,1
0.000002820,0,1,1
0.000002830,1,1,1
0.000003000,1,0,1
0.000003440,1,0,0
0.000003790,1,0,1
0.000004140,1,0,0
0.000005560,1,0,1
0.000005670,0,0,1
0.000006270,0,0,0
0.000008040,0,0,1
0.000008500,1,0,1
0.000008750,1,0,0
0.000011330,0,0,0
0.000011580,0,0,1
0.000011940,0,0,0
0.000013000,0,0,1
0.000013710,0,0,0
0.000014060,0,0,1
0.000014160,1,1,1
0.000014770,1,1,0
0.000015120,1,1,1
0.000015480,1,1,0
0.000016900,1,1,1
0.000017000,0,1,1
0.000017170,0,0,1
0.000017610,0,0,0
0.000019380,0,0,1
0.000019830,1,1,1
0.000020010,1,0,1
0.000020090,1,0,0
0.000022670,0,0,0
0.000022920,0,0,1
0.000023280,0,0,0
0.000023980,0,0,1
0.000024340,0,0,0
0.000024690,0,0,1
0.000025050,0,0,0
0.000025400,0,0,1
0.000025500,1,0,1
0.000027530,1,0,0
0.000027880,1,0,1
0.000028240,1,0,0
0.000028330,1,1,0
0.000028340,0,1,0
0.000028510,0,0,0
0.000028590,0,0,1
0.000028950,0,0,0
0.000030360,0,0,1
0.000031070,0,0,0
0.000031170,1,1,0
0.000031350,1,0,0
0.000034010,0,0,0
0.000034260,0,0,1
0.000034620,0,0,0
0.000035320,0,0,1
0.000035680,0,0,0
0.000036030,0,0,1
0.000036390,0,0,0
0.000036740,0,0,1
0.000036840,1,0,1
0.000038870,1,0,0
0.000039220,1,0,1
0.000039580,1,0,0
0.000039680,0,0,0
0.000039930,0,0,1
0.000040280,0,0,0
0.000041700,0,0,1
0.000042500,0,1,1
0.000042510,1,1,1
0.000042680,1,0,1
0.000042760,1,0,0
0.000045350,0,0,0
0.000045590,0,0,1
0.000045950,0,0,0
0.000046300,0,0,1
0.000046660,0,0,0
0.000048180,1,0,0
0.000048780,1,0,1
0.000050200,1,0,0
0.000050910,1,0,1
0.000051020,0,0,1
0.000051620,0,0,0
0.000052330,0,0,1
0.000052680,0,0,0
0.000053850,1,0,0
0.000054020,1,1,0
0.000056690,0,1,0
0.000056930,0,1,1
0.000057290,0,1,0
0.000057640,0,1,1
0.000058000,0,1,0
0.000059520,1,1,0
0.000059690,1,0,0
0.000060120,1,0,1
0.000061540,1,0,0
0.000062250,1,0,1
0.000062350,0,0,1
0.000062960,0,0,0
0.000063660,0,0,1
0.000064020,0,0,0
0.000065190,1,0,0
0.000068010,1,1,0
0.000068020,0,1,0
0.000068190,0,0,0
0.000068270,0,0,1
0.000068630,0,0,0
0.000068980,0,0,1
0.000069340,0,0,0
0.000069690,0,0,1
0.000070400,0,0,0
0.000070850,1,0,0
0.000071100,1,0,1
0.000072170,1,0,0
0.000072520,1,0,1
0.000072880,1,0,0
0.000073680,1,1,0
0.000073690,0,1,0
0.000073860,0,0,0
0.000074650,0,0,1
0.000075010,0,0,0
0.000075360,0,0,1
0.000076070,0,0,0
0.000076420,0,0,1
0.000076520,1,0,1
0.000076780,1,0,0
0.000079360,0,0,0
0.000079610,0,0,1
0.000079970,0,0,0
0.000080320,0,0,1
0.000080670,0,0,0
0.000081020,0,0,1
0.000081740,0,0,0
0.000082190,1,0,0
0.000082440,1,0,1
0.000083510,1,0,0
0.000083860,1,0,1
0.000084220,1,0,0
0.000085030,0,0,0
0.000085990,0,0,1
0.000086340,0,0,0
0.000086690,0,0,1
0.000087050,0,0,0
0.000087400,0,0,1
0.000087860,1,0,1
0.000088120,1,0,0
0.000090700,0,0,0
0.000090950,0,0,1
0.000091300,0,0,0
0.000091650,0,0,1
0.000092720,0,0,0
0.000093070,0,0,1
0.000093530,1,0,1
0.000093780,1,0,0
0.000095550,1,0,1
0.000095910,1,0,0
0.000096260,1,0,1
0.000096370,0,0,1
0.000097330,0,0,0
0.000097680,0,0,1
0.000098390,0,0,0
0.000098740,0,0,1
0.000099200,1,0,1
0.000099450,1,0,0
0.000102040,0,0,0
0.000102280,0,0,1
0.000102640,0,0,0
