Time [s],LRCK_out,DATA_out
-0.000001620,1,0
-0.000001460,1,1
-0.000001140,1,0
-0.000000980,1,1
-0.000000640,1,0
-0.000000480,1,1
-0.000000320,1,0
-0.000000160,1,1
0.000000000,0,0
0.000000160,0,1
0.000000980,0,0
0.000001300,0,1
0.000001620,0,0
0.000001780,0,1
0.000002120,0,0
0.000002600,1,1
0.000003580,1,0
0.000003900,1,1
0.000004240,1,0
0.000004400,1,1
0.000004720,1,0
0.000005220,0,0
0.000006500,0,1
0.000006680,0,0
0.000006840,0,1
0.000007000,0,0
0.000007160,0,1
0.000007320,0,0
0.000007820,1,1
0.000007980,1,0
0.000009120,1,1
0.000009280,1,0
0.000009440,1,1
0.000009600,1,0
0.000009760,1,1
0.000009940,1,0
0.000010420,0,1
0.000010580,0,0
0.000011400,0,1
0.000011720,0,0
0.000011880,0,1
0.000013020,1,0
0.000014000,1,1
0.000014320,1,0
0.000014480,1,1
0.000015620,1,0
0.000015640,0,0
0.000016760,0,1
0.000016920,0,0
0.000017260,0,1
0.000017420,0,0
0.000017740,0,1
0.000018240,1,0
0.000019360,1,1
0.000019540,1,0
0.000019860,1,1
0.000020020,1,0
0.000020340,1,1
0.000020680,1,0
0.000020840,0,1
0.000021820,0,0
0.000021980,0,1
0.000022140,0,0
0.000022620,0,1
0.000022960,0,0
0.000023280,0,1
0.000023440,1,1
0.000024420,1,0
0.000024580,1,1
0.000024740,1,0
0.000025220,1,1
0.000025560,1,0
0.000025880,1,1
0.000026040,0,0
0.000026200,0,1
0.000027020,0,0
0.000027180,0,1
0.000027340,0,0
0.000027500,0,1
0.000027680,0,0
0.000027840,0,1
0.000028160,0,0
0.000028640,1,1
0.000029620,1,0
0.000029780,1,1
0.000029940,1,0
0.000030100,1,1
0.000030280,1,0
0.000030440,1,1
0.000030760,1,0
0.000031260,0,0
0.000032380,0,1
0.000032720,0,0
0.000033360,0,1
0.000033860,1,1
0.000034020,1,0
0.000035000,1,1
0.000035320,1,0
0.000035960,1,1
0.000036460,0,0
0.000037440,0,1
0.000037760,0,0
0.000037920,0,1
0.000038420,0,0
0.000038740,0,1
0.000038900,0,0
0.000039060,1,0
0.000040040,1,1
0.000040360,1,0
0.000040520,1,1
0.000041020,1,0
0.000041340,1,1
0.000041500,1,0
0.000041660,1,1
0.000041680,0,1
0.000041840,0,0
0.000043140,0,1
0.000043300,0,0
0.000044100,0,1
0.000044280,1,0
0.000045740,1,1
0.000045900,1,0
0.000046720,1,1
0.000046880,0,0
0.000047040,0,1
0.000047860,0,0
0.000048180,0,1
0.000048340,0,0
0.000048500,0,1
0.000048840,0,0
0.000049480,1,0
0.000049640,1,1
0.000050460,1,0
0.000050780,1,1
0.000050940,1,0
0.000051100,1,1
0.000051440,1,0
0.000052100,0,0
0.000052240,0,1
0.000053220,0,0
0.000054040,0,1
0.000054200,0,0
0.000054700,1,0
